iso_i,iso_j,value_ij,dist_ij,rgdp_i,rgdp_j,currency_ij
ALB,NZL,255.1350476,17853.9636,12044208128,1.18953E+11,0
ALB,OMN,1249.182629,4039.042938,12044208128,48388296704,0
ALB,PAK,53.93494713,4761.674494,12044208128,1.67875E+11,0
ALB,PER,73.52312624,11370.40279,12044208128,1.212E+11,0
ALB,PHL,109.6685615,10011.03569,12044208128,1.68334E+11,0
ALB,POL,7637.414953,1191.410076,12044208128,4.36476E+11,0
ALB,PRT,162.9155717,2481.031015,12044208128,2.43731E+11,0
ALB,QAT,2211.631077,3402.381377,12044208128,97798348800,0
ALB,RUS,12197.2304,2777.354897,12044208128,1.22264E+12,0
ALB,SAU,6153.296545,2940.636662,12044208128,4.29098E+11,0
ALB,SDN,177.5797372,3187.563112,12044208128,53149437952,0
ALB,SEN,7962.849012,4614.386787,12044208128,12812994560,0
ALB,SGP,158.3997502,9420.047219,12044208128,1.92406E+11,0
ALB,SVK,3439.502593,841.7741034,12044208128,88634269696,0
ALB,SVN,10688.16196,691.6104033,12044208128,50244792320,0
ALB,SWE,1426.376911,1995.412099,12044208128,4.29656E+11,0
ALB,THA,441.6220802,8249.614129,12044208128,2.63711E+11,0
ALB,TUN,682.0508443,1021.800387,12044208128,43454935040,0
ALB,TUR,54479.5484,1048.170419,12044208128,6.14554E+11,0
ALB,TZA,5.532999873,5541.961759,12044208128,21368166400,0
ALB,UKR,2803.823787,1369.845137,12044208128,1.17228E+11,0
ALB,URY,283.7913033,11430.95163,12044208128,30461323264,0
ALB,USA,147874.9794,8882.74708,12044208128,1.44187E+13,0
ALB,ZAF,871.5219963,7854.973336,12044208128,2.84183E+11,0
ALB,ZMB,5.795666456,6221.803387,12044208128,15328314368,0
ARE,AFG,149122.556,1657.193123,2.53547E+11,12486950912,0
ARE,AGO,371501.9332,5939.362556,2.53547E+11,75492417536,0
ARE,ALB,227.4038086,3723.027864,2.53547E+11,12044208128,0
ARE,ARG,37032.63972,13816.5462,2.53547E+11,3.78496E+11,0
ARE,AUS,1593167.23,11543.80545,2.53547E+11,9.26283E+11,0
ARE,AUT,158479.9612,4324.891057,2.53547E+11,3.9757E+11,0
ARE,AZE,65084.19623,1815.170047,2.53547E+11,44291489792,0
ARE,BEL,3134803.534,5173.252284,2.53547E+11,4.85804E+11,0
ARE,BGR,74254.03231,3398.116877,2.53547E+11,50161405952,0
ARE,BHR,1143940.076,490.1920808,2.53547E+11,22938462208,0
ARE,BIH,6916.575149,3978.999134,2.53547E+11,17264893952,0
ARE,BLR,4264.568867,3905.914338,2.53547E+11,49208655872,0
ARE,BOL,2566.635952,13910.86942,2.53547E+11,17339992064,0
ARE,BRA,422049.4081,11848.628,2.53547E+11,1.62019E+12,0
ARE,CAN,105929.5617,11074.93115,2.53547E+11,1.37084E+12,0
ARE,CHE,3869329.41,4831.202864,2.53547E+11,5.39508E+11,0
ARE,CHL,38937.57962,14768.75748,2.53547E+11,1.72323E+11,0
ARE,CHN,10333875.79,5975.25361,2.53547E+11,4.99023E+12,0
ARE,CIV,45692.008,6705.427553,2.53547E+11,24277493760,0
ARE,CMR,60700.50659,5130.821724,2.53547E+11,23381143552,0
ARE,COL,39649.62594,13629.91751,2.53547E+11,2.33822E+11,0
ARE,CRI,5661.942788,14153.27467,2.53547E+11,29382692864,0
ARE,CYP,17974.47498,2381.6565,2.53547E+11,23542650880,0
ARE,CZE,87180.82379,4388.648384,2.53547E+11,2.0573E+11,0
ARE,DEU,908442.8932,4823.589034,2.53547E+11,3.41277E+12,0
ARE,DNK,39764.46481,4918.476473,2.53547E+11,3.19764E+11,0
ARE,DOM,8812.896881,12368.68032,2.53547E+11,47889006592,0
ARE,DZA,337235.1377,5067.102127,2.53547E+11,1.37212E+11,0
ARE,ECU,12507.48164,14509.07156,2.53547E+11,62519685120,0
ARE,EGY,1442401.425,2447.299385,2.53547E+11,1.88984E+11,0
ARE,ESP,465601.2354,5605.068457,2.53547E+11,1.49898E+12,0
ARE,EST,2862.645609,4441.279819,2.53547E+11,19640621056,0
ARE,ETH,407265.3035,2464.883746,2.53547E+11,32437389312,0
ARE,FIN,19963.08416,4638.0368,2.53547E+11,2.51484E+11,0
ARE,FRA,1066814.248,5180.42965,2.53547E+11,2.69367E+12,0
ARE,GBR,1244347.892,5594.326982,2.53547E+11,2.30893E+12,0
ARE,GEO,208591.3534,2160.823779,2.53547E+11,10766836736,0
ARE,GRC,67579.20162,3332.014421,2.53547E+11,3.29837E+11,0
ARE,GTM,8163.824486,14273.17174,2.53547E+11,37733654528,0
ARE,HKG,4433160.036,5961.188276,2.53547E+11,2.14046E+11,0
ARE,HRV,8336.230172,4146.660109,2.53547E+11,62636687360,0
ARE,HUN,16252.37064,4021.083068,2.53547E+11,1.2936E+11,0
ARE,IND,19396210.37,2318.75458,2.53547E+11,1.36537E+12,0
ARE,IRL,37060.50205,5974.352277,2.53547E+11,2.33542E+11,0
ARE,ISL,281.3605701,6888.304365,2.53547E+11,12823849984,0
ARE,ITA,895780.5267,4399.974144,2.53547E+11,2.18611E+12,0
ARE,JAM,3661.360129,12980.88915,2.53547E+11,12125023232,0
ARE,JOR,817697.8614,2040.89427,2.53547E+11,23818323968,0
ARE,JPN,21199462.48,7767.567383,2.53547E+11,5.03514E+12,0
ARE,KAZ,65948.01276,3022.543871,2.53547E+11,1.15309E+11,0
ARE,KOR,7840956.414,6864.769721,2.53547E+11,9.01935E+11,0
ARE,KWT,2900154.282,860.2638335,2.53547E+11,1.05911E+11,0
ARE,LKA,990448.7135,3289.130008,2.53547E+11,42067976192,0
ARE,LTU,1936.179696,4219.51701,2.53547E+11,37050081280,0
ARE,LVA,6452.920107,4321.640804,2.53547E+11,25875781632,0
ARE,MAC,51.32300031,6000.812988,2.53547E+11,21313263616,0
ARE,MAR,502247.7319,6011.039509,2.53547E+11,90908401664,0
ARE,MEX,147661.9998,14184.51561,2.53547E+11,8.95313E+11,0
ARE,MYS,2973657.289,5734.661529,2.53547E+11,2.02251E+11,0
ARE,NLD,894182.7287,5155.024481,2.53547E+11,8.58034E+11,0
ARE,NOR,46438.20549,5253.572852,2.53547E+11,3.78849E+11,0
ARE,NPL,264394.8357,2954.694138,2.53547E+11,12899651584,0
ARE,NZL,286681.4657,14195.32488,2.53547E+11,1.18953E+11,0
ARE,OMN,9960340.25,360.2071598,2.53547E+11,48388296704,0
ARE,PAK,5373444.353,1626.469282,2.53547E+11,1.67875E+11,0
ARE,PAN,1759.912907,13900.69233,2.53547E+11,25925099520,0
ARE,PER,17275.13049,14733.89124,2.53547E+11,1.212E+11,0
ARE,PHL,452453.6374,7046.730601,2.53547E+11,1.68334E+11,0
ARE,POL,123278.5554,4247.487133,2.53547E+11,4.36476E+11,0
ARE,PRT,21961.08973,6157.841201,2.53547E+11,2.43731E+11,0
ARE,PRY,15833.59123,13288.57302,2.53547E+11,15929903104,0
ARE,QAT,2754222.809,388.6831281,2.53547E+11,97798348800,1
ARE,RUS,160414.5193,3721.569122,2.53547E+11,1.22264E+12,0
ARE,SAU,8476805.003,1239.455948,2.53547E+11,4.29098E+11,0
ARE,SDN,455481.6573,2672.899427,2.53547E+11,53149437952,0
ARE,SEN,129166.0332,7566.03588,2.53547E+11,12812994560,0
ARE,SGP,7476070.284,5843.97719,2.53547E+11,1.92406E+11,0
ARE,SLV,11817.82327,14243.97851,2.53547E+11,20661000192,0
ARE,SVK,11526.17823,4101.006618,2.53547E+11,88634269696,0
ARE,SVN,5382.160648,4285.430732,2.53547E+11,50244792320,0
ARE,SWE,55530.83231,4859.489763,2.53547E+11,4.29656E+11,0
ARE,THA,7398917.403,4903.946841,2.53547E+11,2.63711E+11,0
ARE,TUN,114906.1319,4443.100135,2.53547E+11,43454935040,0
ARE,TUR,1995709.004,2720.66603,2.53547E+11,6.14554E+11,0
ARE,TZA,789431.6493,4006.113341,2.53547E+11,21368166400,0
ARE,UGA,382690.3094,3656.277446,2.53547E+11,14824492032,0
ARE,UKR,38696.45839,3278.28949,2.53547E+11,1.17228E+11,0
ARE,URY,9588.799793,13446.88914,2.53547E+11,30461323264,0
ARE,USA,1782191.987,12196.14983,2.53547E+11,1.44187E+13,0
ARE,VNM,488045.8126,5518.666775,2.53547E+11,1.06015E+11,0
ARE,YEM,720931.8958,1631.889257,2.53547E+11,27838717952,0
ARE,ZAF,910402.7264,6756.299209,2.53547E+11,2.84183E+11,0
ARE,ZMB,167751.7725,5249.955476,2.53547E+11,15328314368,0
ARG,AFG,166.4327,15341.1613,3.78496E+11,12486950912,0
ARG,AGO,88089.57641,7977.915823,3.78496E+11,75492417536,0
ARG,ALB,13653.45357,11662.55607,3.78496E+11,12044208128,0
ARG,ARE,173712.0264,13816.54646,3.78496E+11,2.53547E+11,0
ARG,AUS,625990.7847,12044.57413,3.78496E+11,9.26283E+11,0
ARG,AUT,69448.88041,11751.14652,3.78496E+11,3.9757E+11,0
ARG,AZE,14849.30238,13853.48018,3.78496E+11,44291489792,0
ARG,BEL,361207.8626,11305.28576,3.78496E+11,4.85804E+11,0
ARG,BGD,277302.8695,16993.58241,3.78496E+11,1.02478E+11,0
ARG,BGR,90378.90702,12115.57205,3.78496E+11,50161405952,0
ARG,BHR,6084.053928,13444.56989,3.78496E+11,22938462208,0
ARG,BIH,6249.879617,11708.02698,3.78496E+11,17264893952,0
ARG,BLR,44285.53363,12833.47282,3.78496E+11,49208655872,0
ARG,BOL,681856.4783,1865.839413,3.78496E+11,17339992064,0
ARG,BRA,10137409.3,2391.846414,3.78496E+11,1.62019E+12,0
ARG,CAN,1374691.504,9391.46105,3.78496E+11,1.37084E+12,0
ARG,CHE,1274955.82,11232.93301,3.78496E+11,5.39508E+11,0
ARG,CHL,2433617.677,1156.725879,3.78496E+11,1.72323E+11,0
ARG,CHN,5196667.477,19110.12767,3.78496E+11,4.99023E+12,0
ARG,CIV,36365.43455,7342.303129,3.78496E+11,24277493760,0
ARG,CMR,36967.90928,8732.010349,3.78496E+11,23381143552,0
ARG,COL,453553.4022,4615.471427,3.78496E+11,2.33822E+11,0
ARG,CRI,51926.61757,5423.041951,3.78496E+11,29382692864,0
ARG,CUB,276155.1414,6477.50471,3.78496E+11,62078611456,0
ARG,CYP,32195.83994,12365.90438,3.78496E+11,23542650880,0
ARG,CZE,83764.77846,11889.49019,3.78496E+11,2.0573E+11,0
ARG,DEU,1463225.564,11646.03299,3.78496E+11,3.41277E+12,0
ARG,DNK,298265.3027,12006.05287,3.78496E+11,3.19764E+11,0
ARG,DOM,117601.9774,5874.742096,3.78496E+11,47889006592,0
ARG,DZA,1155257.271,10171.67015,3.78496E+11,1.37212E+11,0
ARG,ECU,256430.7471,4047.070762,3.78496E+11,62519685120,0
ARG,EGY,1075749.756,11928.12067,3.78496E+11,1.88984E+11,0
ARG,ESP,1403866.218,10079.65679,3.78496E+11,1.49898E+12,0
ARG,EST,7716.368776,12925.27557,3.78496E+11,19640621056,0
ARG,ETH,2134.142666,11459.44733,3.78496E+11,32437389312,0
ARG,FIN,36855.71855,12969.02423,3.78496E+11,2.51484E+11,0
ARG,FRA,425576.4864,10932.34095,3.78496E+11,2.69367E+12,0
